last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Stabenow,Debbie,Ann,NA,NA,Debbie Stabenow,1950-04-29,F,sen,MI,NA,1,Democrat,https://www.stabenow.senate.gov,731 Hart Senate Office Building Washington DC 20510,202-224-4822,https://www.stabenow.senate.gov/contact,http://stabenow.senate.gov/rss/?p=news,SenStabenow,SenatorStabenow,senatorstabenow,UCFoDKCvxSwCUfDv-4Eg4K5A,S000770,01531,N00004118,S284,"S8MI00281,H6MI08163",45451,300093,515,Debbie Stabenow,NA,29732,Debbie Stabenow
Tester,Jon,NA,NA,NA,Jon Tester,1956-08-21,M,sen,MT,NA,1,Democrat,https://www.tester.senate.gov,311 Hart Senate Office Building Washington DC 20510,202-224-2644,https://www.tester.senate.gov/?p=email_senator,http://www.tester.senate.gov/rss/?p=hot_topic,SenatorTester,senatortester,senatorjontester,UCgXAF-CON1coZFMxQkfj0fg,T000464,01829,N00027605,S314,S6MT00162,1020176,412244,20928,Jon Tester,NA,40702,Jon Tester
Whitehouse,Sheldon,NA,NA,NA,Sheldon Whitehouse,1955-10-20,M,sen,RI,NA,1,Democrat,https://www.whitehouse.senate.gov,530 Hart Senate Office Building Washington DC 20510,202-224-2921,https://www.whitehouse.senate.gov/contact/email-sheldon,http://www.whitehouse.senate.gov/rss/feeds/?type=all&amp;cachebuster=1,SenWhitehouse,SenatorWhitehouse,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,W000802,01823,N00027533,S316,S6RI00221,92235,412247,2572,Sheldon Whitehouse,NA,40704,Sheldon Whitehouse
Barrasso,John,A.,NA,NA,John Barrasso,1952-07-21,M,sen,WY,NA,1,Republican,https://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441,https://www.barrasso.senate.gov/public/index.cfm/contact-form,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=Rss.Feed,SenJohnBarrasso,johnbarrasso,barrassowyo,UC80PfiCAB2Fe1MFayWlR6GQ,B001261,01881,N00006236,S317,S6WY00068,1024777,412251,52662,John Barrasso,NA,40707,John Barrasso
Wicker,Roger,F.,NA,NA,Roger F. Wicker,1951-07-05,M,sen,MS,NA,1,Republican,https://www.wicker.senate.gov,555 Dirksen Senate Office Building Washington DC 20510,202-224-6253,https://www.wicker.senate.gov/public/index.cfm/contact,NA,SenatorWicker,SenatorWicker,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,W000437,01226,N00003280,S318,"H4MS01078,S8MS00196",18203,400432,21926,Roger Wicker,NA,29534,Roger Wicker
Alexander,Lamar,NA,NA,NA,Lamar Alexander,1940-07-03,M,sen,TN,NA,2,Republican,https://www.alexander.senate.gov/public,455 Dirksen Senate Office Building Washington DC 20510,202-224-4944,http://www.alexander.senate.gov/public/index.cfm?p=Email,http://www.alexander.senate.gov/public/?a=rss.feed,SenAlexander,senatorlamaralexander,lamaralexander,UChDLBjn5RWqgMmCSswT05IQ,A000360,01695,N00009888,S289,"S2TN00058,P60003225",5,300002,15691,Lamar Alexander,NA,40304,Lamar Alexander
Collins,Susan,M.,NA,NA,Susan M. Collins,1952-12-07,F,sen,ME,NA,2,Republican,https://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,http://www.collins.senate.gov/contact,http://www.collins.senate.gov/public/?a=rss.feed,SenatorCollins,susancollins,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w,C001035,01541,N00000491,S252,S6ME00159,45738,300025,379,Susan Collins,NA,49703,Susan Collins
Cornyn,John,NA,NA,NA,John Cornyn,1952-02-02,M,sen,TX,NA,2,Republican,https://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,202-224-2934,https://www.cornyn.senate.gov/contact,http://www.cornyn.senate.gov/public/?a=rss.feed,JohnCornyn,sen.johncornyn,senjohncornyn,UCyQwLQavlOaJ64YuY_VMtiQ,C001056,01692,N00024852,S287,S2TX00106,93131,300027,15375,John Cornyn,NA,40305,John Cornyn
Durbin,Richard,J.,NA,NA,Richard J. Durbin,1944-11-21,M,sen,IL,NA,2,Democrat,https://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,https://www.durbin.senate.gov/contact/,http://durbin.senate.gov/public/index.cfm/rss/feed,SenatorDurbin,SenatorDurbin,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,D000563,00326,N00004981,S253,"S6IL00151,H2IL20026",6741,300038,26847,Dick Durbin,NA,15021,Dick Durbin
Enzi,Michael,B.,NA,NA,Michael B. Enzi,1944-02-01,M,sen,WY,NA,2,Republican,https://www.enzi.senate.gov,379A Russell Senate Office Building Washington DC 20510,202-224-3424,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,http://www.enzi.senate.gov/public/index.cfm/rss/feed,SenatorEnzi,mikeenzi,senatorenzi,UCipEXEDAKVPj_B0cQjaikEA,E000285,01542,N00006249,S254,S6WY00126,45824,300041,558,Mike Enzi,NA,49706,Mike Enzi
Graham,Lindsey,O.,NA,NA,Lindsey Graham,1955-07-09,M,sen,SC,NA,2,Republican,https://www.lgraham.senate.gov/public,290 Russell Senate Office Building Washington DC 20510,202-224-5972,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Rss.Feed,GrahamBlog,USSenatorLindseyGraham,USSenLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ,G000359,00452,N00009975,S293,"S0SC00149,H4SC03087",36782,300047,21992,Lindsey Graham,NA,29566,Lindsey Graham
Inhofe,James,M.,NA,Jim,James M. Inhofe,1934-11-17,M,sen,OK,NA,2,Republican,https://www.inhofe.senate.gov,205 Russell Senate Office Building Washington DC 20510,202-224-4721,https://www.inhofe.senate.gov/contact,http://www.inhofe.senate.gov/rss/feeds/?type=all&amp;cachebuster=eea6c4d7%2d939c%2d5c1e%2db6c7aa3b8b291208,InhofePress,jiminhofe,jiminhofepressoffice,UCk3W3ilX8vGG-300qzNpG7w,I000024,00583,N00005582,S236,"S4OK00083,H6OK01102",5619,300055,27027,Jim Inhofe,NA,15424,Jim Inhofe
McConnell,Mitch,NA,NA,NA,Mitch McConnell,1942-02-20,M,sen,KY,NA,2,Republican,https://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,http://www.mcconnell.senate.gov/public/index.cfm?p=contact,http://www.mcconnell.senate.gov/public/?a=rss.feed,McConnellPress,mitchmcconnell,NA,NA,M000355,01395,N00003389,S174,S2KY00012,2351,300072,53298,Mitch McConnell,NA,14921,Mitch McConnell
Merkley,Jeff,NA,NA,NA,Jeff Merkley,1956-10-24,M,sen,OR,NA,2,Democrat,https://www.merkley.senate.gov,313 Hart Senate Office Building Washington DC 20510,202-224-3753,http://www.merkley.senate.gov/contact/,http://www.merkley.senate.gov/rss/,SenJeffMerkley,jeffmerkley,SenatorJeffMerkley,UCRoXttCJhMnLVCxCaa6VnNQ,M001176,01900,N00029303,S322,S8OR00207,1029842,412325,23644,Jeff Merkley,NA,40908,Jeff Merkley
Reed,John,F.,NA,Jack,Jack Reed,1949-11-12,M,sen,RI,NA,2,Democrat,https://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,202-224-4642,https://www.reed.senate.gov/contact/,https://www.reed.senate.gov//rss/feeds/?type=all,SenJackReed,SenJackReed,SenatorReed,UCT_aFVtsjxPwWKfO-PW_hPw,R000122,00949,N00000362,S259,"S6RI00163,H0RI02071",24239,300081,27060,Jack Reed,NA,29142,Jack Reed (Rhode Island politician)
Risch,James,NA,NA,NA,James E. Risch,1943-05-03,M,sen,ID,NA,2,Republican,https://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,http://www.risch.senate.gov/public/index.cfm?p=Email,NA,SenatorRisch,senatorjimrisch,SenatorJamesRisch,UCncKW8xyT5UbPNO27YuQnBA,R000584,01896,N00029441,S323,S8ID00092,1020034,412322,2919,Jim Risch,NA,40902,Jim Risch
Roberts,Pat,NA,NA,NA,Pat Roberts,1936-04-20,M,sen,KS,NA,2,Republican,https://www.roberts.senate.gov,109 Hart Senate Office Building Washington DC 20510,202-224-4774,https://www.roberts.senate.gov/public/?p=EmailPat,http://www.roberts.senate.gov/public/?a=rss.feed,SenPatRoberts,SenPatRoberts,SenPatRoberts,UCRpswvC8LgxzE9AYSFpqUgw,R000307,00968,N00005285,S260,"S6KS00080,H0KS01016",16354,300083,26866,Pat Roberts,NA,14852,Pat Roberts
Shaheen,Jeanne,NA,NA,NA,Jeanne Shaheen,1947-01-28,F,sen,NH,NA,2,Democrat,https://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,202-224-2841,https://www.shaheen.senate.gov/contact/contact-jeanne,http://www.shaheen.senate.gov/rss/,SenatorShaheen,SenatorShaheen,senatorshaheen,UCjLZAZMbDrybHyttdEC9LFA,S001181,01901,N00024790,S324,S0NH00219,22850,412323,1663,Jeanne Shaheen,NA,40906,Jeanne Shaheen
Udall,Tom,S.,NA,NA,Tom Udall,1948-05-18,M,sen,NM,NA,2,Democrat,https://www.tomudall.senate.gov,531 Hart Senate Office Building Washington DC 20510,202-224-6621,https://www.tomudall.senate.gov/?p=contact,http://tomudall.senate.gov/rss/?p=blog,SenatorTomUdall,senatortomudall,senatortomudall,UCADpIVS6bxOcr-uWnJCC9pQ,U000039,01567,N00006561,S326,"H8NM03097,S8NM00184",10075,400413,22658,Tom Udall,NA,29924,Tom Udall
Warner,Mark,NA,NA,NA,Mark R. Warner,1954-12-15,M,sen,VA,NA,2,Democrat,https://www.warner.senate.gov,703 Hart Senate Office Building Washington DC 20510,202-224-2023,http://www.warner.senate.gov/public/index.cfm?p=Contact,http://www.warner.senate.gov/public/?a=rss.feed,MarkWarner,MarkRWarner,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw,W000805,01897,N00002097,S327,"S6VA00093,P80003023",7630,412321,535,Mark Warner,NA,40909,Mark Warner
Gillibrand,Kirsten,E.,NA,NA,Kirsten E. Gillibrand,1966-12-09,F,sen,NY,NA,1,Democrat,https://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,202-224-4451,https://www.gillibrand.senate.gov/contact/email-me,http://www.gillibrand.senate.gov/rss/,SenGillibrand,SenKirstenGillibrand,KirstenEGillibrand,UCVEloQogVsmnkd5vxJInmYg,G000555,01866,N00027658,S331,"H6NY20167,S0NY00410",1022862,412223,65147,Kirsten Gillibrand,NA,20735,Kirsten Gillibrand
Coons,Chris,Andrew,NA,NA,Christopher A. Coons,1963-09-09,M,sen,DE,NA,2,Democrat,https://www.coons.senate.gov,127A Russell Senate Office Building Washington DC 20510,202-224-5042,https://www.coons.senate.gov/contact,http://www.coons.senate.gov/rss/feeds/?type=all,ChrisCoons,senatorchriscoons,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA,C001088,01984,N00031820,S337,S0DE00092,9269028,412390,122834,Chris Coons,NA,40916,Chris Coons
Manchin,Joe,NA,III,NA,"Joe Manchin, III",1947-08-24,M,sen,WV,NA,1,Democrat,https://www.manchin.senate.gov,306 Hart Senate Office Building Washington DC 20510,202-224-3954,http://www.manchin.senate.gov/public/index.cfm/contact-form,http://www.manchin.senate.gov/public/index.cfm/rss/feed,Sen_JoeManchin,JoeManchinIII,SenatorJoeManchin,UCGyPK_ye2ptpzQgOjKIn7ag,M001183,01983,N00032838,S338,S0WV00090,62864,412391,7547,Joe Manchin III,NA,40915,Joe Manchin
Aderholt,Robert,B.,NA,NA,Robert B. Aderholt,1965-07-22,M,rep,AL,4,NA,Republican,https://aderholt.house.gov,235 Cannon House Office Building; Washington DC 20515-0104,202-225-4876,NA,http://aderholt.house.gov/common/rss//index.cfm?rss=20,Robert_Aderholt,RobertAderholt,RobertAderholt,UC71CAgpg1gbLTew_pfTneGA,A000055,01460,N00003028,NA,H6AL04098,45516,400004,441,Robert B. Aderholt,NA,29701,Robert Aderholt
Amash,Justin,NA,NA,NA,Justin Amash,1980-04-18,M,rep,MI,3,NA,Republican,https://amash.house.gov,114 Cannon House Office Building; Washington DC 20515-2203,202-225-3831,NA,http://amash.house.gov/rss.xml,NA,repjustinamash,repjustinamash,UCeg6HhoCXrS8xpON9dxtZgA,A000367,02029,N00031938,NA,H0MI03126,1033767,412438,105566,Justin Amash,NA,21143,Justin Amash
Baldwin,Tammy,NA,NA,NA,Tammy Baldwin,1962-02-11,F,sen,WI,NA,1,Democrat,https://www.baldwin.senate.gov,709 Hart Senate Office Building Washington DC 20510,202-224-5653,https://www.baldwin.senate.gov/feedback,http://www.baldwin.senate.gov/rss/feeds/?type=all,SenatorBaldwin,senatortammybaldwin,witammybaldwin,UC_XjYCRbbI2_TDDjJidwk0Q,B001230,01558,N00004367,S354,"H8WI00018,S2WI00219",57884,400013,3470,Tammy Baldwin,NA,29940,Tammy Baldwin
Barletta,Lou,NA,NA,NA,Lou Barletta,1956-01-28,M,rep,PA,11,NA,Republican,https://barletta.house.gov,2049 Rayburn House Office Building; Washington DC 20515-3811,202-225-6511,NA,http://barletta.house.gov/common/rss//index.cfm?rss=25,RepLouBarletta,CongressmanLouBarletta,reploubarletta,UChViw1Iv0nY1b3Qq9Q0vDBQ,B001269,02054,N00025495,NA,H2PA11098,29618,412469,47143,Lou Barletta,NA,21171,Lou Barletta
Barton,Joe,Linus,NA,NA,Joe Barton,1949-09-15,M,rep,TX,6,NA,Republican,https://joebarton.house.gov,2107 Rayburn House Office Building; Washington DC 20515-4306,202-225-2002,NA,http://joebarton.house.gov/index.php?format=feed&amp;type=rss,RepJoeBarton,RepJoeBarton,repjoebarton,UC9zg5RmxfNdBfz4iZuzvWXg,B000213,00062,N00005656,NA,"H4TX06117,S4TX00094",5248,400018,27082,NA,NA,15085,Joe Barton
Bass,Karen,NA,NA,NA,Karen Bass,1953-10-03,F,rep,CA,37,NA,Democrat,https://bass.house.gov,2241 Rayburn House Office Building; Washington DC 20515-0537,202-225-7084,NA,http://bass.house.gov/rss.xml,RepKarenBass,RepKarenBass,RepKarenBass,UCQZg7oxkV3Yag2emYPLhT2g,B001270,01996,N00031877,NA,H0CA33117,62502,412404,28963,NA,NA,21110,Karen Bass
Bennet,Michael,F.,NA,NA,Michael F. Bennet,1964-11-28,M,sen,CO,NA,3,Democrat,https://www.bennet.senate.gov/public,261 Russell Senate Office Building Washington DC 20510,202-224-5852,https://www.bennet.senate.gov/public/index.cfm/contact,http://www.bennet.senate.gov/rss/feeds/?type=news,SenBennetCo,senbennetco,SenatorBennet,UCXB3cljpMwTyCUyLr2ZVLow,B001267,01965,N00030608,S330,S0CO00211,1031622,412330,110942,Michael Bennet,NA,40910,Michael Bennet
Bilirakis,Gus,M.,NA,NA,Gus M. Bilirakis,1963-02-08,M,rep,FL,12,NA,Republican,https://bilirakis.house.gov,2112 Rayburn House Office Building; Washington DC 20515-0912,202-225-5755,NA,http://bilirakis.house.gov/index.php?format=feed&amp;type=rss,RepGusBilirakis,GusBilirakis,RepGusBilirakis,UC2z1uu1n4-60xXs5x1mvLJw,B001257,01838,N00027462,NA,H6FL09070,1022873,412250,17318,Gus M. Bilirakis,NA,20758,Gus Bilirakis
Bishop,Rob,NA,NA,NA,Rob Bishop,1951-07-13,M,rep,UT,1,NA,Republican,https://robbishop.house.gov,123 Cannon House Office Building; Washington DC 20515-4401,202-225-0453,NA,http://robbishop.house.gov/news/rss.aspx,RepRobBishop,RepRobBishop,CongressmanBishop,UCJC2BXNGQEUom7Tp7FKfxlQ,B001250,01753,N00025292,NA,H2UT01094,1003621,400029,50544,Rob Bishop,NA,20357,Rob Bishop
Bishop,Sanford,D.,Jr.,NA,"Sanford D. Bishop, Jr.",1947-02-04,M,rep,GA,2,NA,Democrat,https://bishop.house.gov,2407 Rayburn House Office Building; Washington DC 20515-1002,202-225-3631,NA,http://bishop.house.gov/rss.xml,SanfordBishop,sanfordbishop,RepSanfordBishop,UCxF9veLBrkr_CqVq5eFYVGg,B000490,00091,N00002674,NA,H2GA02031,26194,400030,26817,NA,NA,29339,Sanford Bishop
Black,Diane,NA,NA,NA,Diane Black,1951-01-16,F,rep,TN,6,NA,Republican,https://black.house.gov,1131 Longworth House Office Building; Washington DC 20515-4206,202-225-4231,NA,http://black.house.gov/rss.xml,RepDianeBlack,DianeBlackTN06,RepDianeBlack,UCREZGYWeFh6-gfodmoWVUFg,B001273,02063,N00031539,NA,H0TN06257,9268964,412478,25292,NA,NA,21180,Diane Black
Blackburn,Marsha,W.,NA,NA,Marsha Blackburn,1952-06-06,F,rep,TN,7,NA,Republican,https://blackburn.house.gov,2266 Rayburn House Office Building; Washington DC 20515-4207,202-225-2811,NA,http://blackburn.house.gov/news/rss.aspx,MarshaBlackburn,marshablackburn,RepMarshaBlackburn,UCvNnmu5mUm7xr8QXBlbtQ9w,B001243,01748,N00003105,NA,H2TN06030,31226,400032,25186,Marsha Blackburn,NA,20351,Marsha Blackburn
Blumenauer,Earl,NA,NA,NA,Earl Blumenauer,1948-08-16,M,rep,OR,3,NA,Democrat,https://blumenauer.house.gov,1111 Longworth House Office Building; Washington DC 20515-3703,202-225-4811,NA,http://blumenauer.house.gov/index.php?format=feed&amp;type=rss,BlumenauerMedia,NA,RepBlumenauer,UCuziVoKuGn7feNA5VrpxsBQ,B000574,00099,N00007727,NA,H6OR03064,43809,400033,367,Earl Blumenauer,NA,29588,Earl Blumenauer
Blumenthal,Richard,NA,NA,NA,Richard Blumenthal,1946-02-13,M,sen,CT,NA,3,Democrat,https://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510,202-224-2823,https://www.blumenthal.senate.gov/contact/,http://www.blumenthal.senate.gov/rss/feeds/?type=all,SenBlumenthal,SenBlumenthal,SenatorBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g,B001277,02076,N00031685,S341,S0CT00177,21799,412490,1568,Richard Blumenthal,NA,41101,Richard Blumenthal
Blunt,Roy,NA,NA,NA,Roy Blunt,1950-01-10,M,sen,MO,NA,3,Republican,https://www.blunt.senate.gov/public,260 Russell Senate Office Building Washington DC 20510,202-224-5721,https://www.blunt.senate.gov/public/index.cfm/contact-roy,http://www.blunt.senate.gov/public/?a=rss.feed,RoyBlunt,SenatorBlunt,SenatorBlunt,UCFeLRzjhThTmaWzuh5qjpGA,B000575,01464,N00005195,S342,"H6MO07128,S0MO00183",45465,400034,418,Roy Blunt,NA,29735,Roy Blunt
Boozman,John,NA,NA,NA,John Boozman,1950-12-10,M,sen,AR,NA,3,Republican,https://www.boozman.senate.gov/public,141 Hart Senate Office Building Washington DC 20510,202-224-4843,https://www.boozman.senate.gov/public/index.cfm/contact,http://www.boozman.senate.gov/public/index.cfm/rss/feed,JohnBoozman,JohnBoozman,BoozmanPressOffice,UC9vWHKL5OfIYh6kIV0rF2yw,B001236,01687,N00013873,S343,"H2AR03176,S0AR00150",92069,400040,27958,John Boozman,NA,20101,John Boozman
Bordallo,Madeleine,Z.,NA,NA,Madeleine Z. Bordallo,1933-05-31,F,rep,GU,0,NA,Democrat,https://bordallo.house.gov,2441 Rayburn House Office Building; Washington DC 20515-5301,202-225-1188,NA,http://bordallo.house.gov/rss.xml,NA,madeleine.bordallo,RepMadeleineBordallo,UCmHdfm0Nyslc8LOoq3KIATg,B001245,01723,N00024866,NA,H2GU00033,1003568,400041,1751,NA,NA,NA,Madeleine Bordallo
Brady,Kevin,P.,NA,NA,Kevin Brady,1955-04-11,M,rep,TX,8,NA,Republican,https://kevinbrady.house.gov,1011 Longworth House Office Building; Washington DC 20515-4308,202-225-4901,NA,http://kevinbrady.house.gov/common/rss/index.cfm?rss=49,RepKevinBrady,kevinbrady,KBrady8,UC6Ng0uMQEBVgXO_HF0NbfXA,B000755,01468,N00005883,NA,H6TX08100,45749,400046,361,NA,NA,29760,Kevin Brady
Brady,Robert,Alan,NA,NA,Robert A. Brady,1945-04-07,M,rep,PA,1,NA,Democrat,https://brady.house.gov,2004 Rayburn House Office Building; Washington DC 20515-3801,202-225-4731,NA,http://brady.house.gov/rss.xml,RepBrady,RepRobertBrady,BradyPA01,UCHbTbPH6iCtaA_AKPwDy04A,B001227,01469,N00001619,NA,H8PA01153,55227,400047,2519,Robert A. Brady,NA,29777,Bob Brady
