start_date,length,race,name,party,chamber,support,end_date,poll,pollster,sponsor,n,pop,method,internal,partisan,tracking
2017-09-27,3,WV-S1,Manchin,D,senate,0.45,2017-09-30,52641,573,NA,320,lv,Online,FALSE,NA,NA
2017-09-27,3,WV-S1,Morrisey,R,senate,0.38,2017-09-30,52641,573,NA,320,lv,Online,FALSE,NA,NA
2017-09-30,5,CA-48,Rouda,D,house,0.44,2017-10-05,52675,495,NA,401,lv,NA,TRUE,DEM,NA
2017-09-30,5,CA-48,Rohrabacher,R,house,0.48,2017-10-05,52675,495,NA,401,lv,NA,TRUE,DEM,NA
2017-10-04,3,MN-02,Craig,D,house,0.42,2017-10-07,53605,383,971,732,v,Automated Phone,FALSE,DEM,NA
2017-10-04,3,MN-02,Lewis,R,house,0.43,2017-10-07,53605,383,971,732,v,Automated Phone,FALSE,DEM,NA
2017-10-05,3,CO-06,Crow,D,house,0.36,2017-10-08,52748,383,971,742,v,NA,FALSE,DEM,NA
2017-10-05,3,CO-06,Coffman,R,house,0.43,2017-10-08,52748,383,971,742,v,NA,FALSE,DEM,NA
2017-10-06,2,IA-01,Finkenauer,D,house,0.42,2017-10-08,52749,383,971,1093,v,NA,FALSE,DEM,NA
2017-10-06,2,IA-01,Blum,R,house,0.4,2017-10-08,52749,383,971,1093,v,NA,FALSE,DEM,NA
2017-10-09,9,UT-04,McAdams,D,house,0.42,2017-10-18,52738,120,431703,402,rv,NA,FALSE,NA,NA
2017-10-09,9,UT-04,Love,R,house,0.48,2017-10-18,52738,120,431703,402,rv,NA,FALSE,NA,NA
2017-10-10,0,NY-22,Brindisi,D,house,0.45,2017-10-10,52750,1359,451,561,lv,IVR/Live Phone,TRUE,DEM,NA
2017-10-10,0,NY-22,Tenney,R,house,0.43,2017-10-10,52750,1359,451,561,lv,IVR/Live Phone,TRUE,DEM,NA
2017-10-11,1,MO-S1,McCaskill,D,senate,0.45,2017-10-12,53558,1056,421,965,lv,NA,FALSE,NA,NA
2017-10-11,1,MO-S1,Hawley,R,senate,0.48,2017-10-12,53558,1056,421,965,lv,NA,FALSE,NA,NA
2017-10-20,2,TN-S1,Bredesen,D,senate,0.46,2017-10-22,53480,172,24,601,lv,NA,TRUE,DEM,NA
2017-10-20,2,TN-S1,Blackburn,R,senate,0.41000000000000003,2017-10-22,53480,172,24,601,lv,NA,TRUE,DEM,NA
2017-11-09,1,NY-22,Brindisi,D,house,0.47000000000000003,2017-11-10,52751,383,971,599,v,NA,FALSE,DEM,NA
2017-11-09,1,NY-22,Tenney,R,house,0.41000000000000003,2017-11-10,52751,383,971,599,v,NA,FALSE,DEM,NA
2017-11-09,1,MN-03,Phillips,D,house,0.46,2017-11-10,53604,383,971,542,v,Automated Phone,FALSE,DEM,NA
2017-11-09,1,MN-03,Paulsen,R,house,0.42,2017-11-10,53604,383,971,542,v,Automated Phone,FALSE,DEM,NA
2017-11-09,3,MA-S1,Warren,D,senate,0.58,2017-11-12,53893,290,83,503,rv,Live Phone,FALSE,NA,NA
2017-11-09,3,MA-S1,Diehl,R,senate,0.32,2017-11-12,53893,290,83,503,rv,Live Phone,FALSE,NA,NA
2017-11-09,0,AZ-S1,Sinema,D,senate,0.46,2017-11-09,53710,1293,NA,600,lv,Automated Phone,FALSE,NA,NA
2017-11-09,0,AZ-S1,McSally,R,senate,0.45,2017-11-09,53710,1293,NA,600,lv,Automated Phone,FALSE,NA,NA
2017-11-09,0,AZ-S1,Sinema,D,senate,0.46,2017-11-09,53710,1293,NA,600,lv,Automated Phone,FALSE,NA,NA
2017-11-09,0,AZ-S1,Ward,R,senate,0.43,2017-11-09,53710,1293,NA,600,lv,Automated Phone,FALSE,NA,NA
2017-11-10,2,NE-S1,Raybould,D,senate,0.31,2017-11-12,52645,383,NA,1190,v,NA,TRUE,DEM,NA
2017-11-10,2,NE-S1,Fischer,R,senate,0.42,2017-11-12,52645,383,NA,1190,v,NA,TRUE,DEM,NA
2017-11-16,5,UT-S1,Wilson,D,senate,0.21,2017-11-21,52721,120,703,600,rv,NA,FALSE,NA,NA
2017-11-16,5,UT-S1,Romney,R,senate,0.72,2017-11-21,52721,120,703,600,rv,NA,FALSE,NA,NA
2017-11-19,5,FL-S1,Nelson,D,senate,0.316,2017-11-24,53755,1027,NA,500,a,Online,FALSE,NA,NA
2017-11-19,5,FL-S1,Scott,R,senate,0.418,2017-11-24,53755,1027,NA,500,a,Online,FALSE,NA,NA
2017-11-28,1,TX-31,Hegar,D,house,0.4,2017-11-29,53449,383,NA,613,v,NA,TRUE,DEM,NA
2017-11-28,1,TX-31,Carter,R,house,0.46,2017-11-29,53449,383,NA,613,v,NA,TRUE,DEM,NA
2017-12-11,1,TN-S1,Bredesen,D,senate,0.42,2017-12-12,53487,801,NA,563,rv,IVR/Online,FALSE,NA,NA
2017-12-11,1,TN-S1,Blackburn,R,senate,0.4,2017-12-12,53487,801,NA,563,rv,IVR/Online,FALSE,NA,NA
2017-12-12,2,TX-S1,O'Rourke,D,senate,0.34,2017-12-14,52631,1418,NA,600,lv,NA,TRUE,REP,NA
2017-12-12,2,TX-S1,Cruz,R,senate,0.52,2017-12-14,52631,1418,NA,600,lv,NA,TRUE,REP,NA
2017-12-13,4,TN-S1,Bredesen,D,senate,0.34,2017-12-17,53483,1418,964,500,lv,NA,FALSE,REP,NA
2017-12-13,4,TN-S1,Blackburn,R,senate,0.43,2017-12-17,53483,1418,964,500,lv,NA,FALSE,REP,NA
2017-12-19,5,FL-S1,Nelson,D,senate,0.44,2017-12-24,53754,801,NA,5778,rv,IVR/Online,FALSE,NA,NA
2017-12-19,5,FL-S1,Scott,R,senate,0.39,2017-12-24,53754,801,NA,5778,rv,IVR/Online,FALSE,NA,NA
2018-01-03,1,MO-S1,McCaskill,D,senate,0.45,2018-01-04,53559,1056,421,1122,lv,NA,FALSE,NA,NA
2018-01-03,1,MO-S1,Hawley,R,senate,0.49,2018-01-04,53559,1056,421,1122,lv,NA,FALSE,NA,NA
2018-01-05,4,NV-04,Horsford,D,house,0.42,2018-01-09,53598,1359,451,400,rv,IVR/Live Phone,TRUE,DEM,NA
2018-01-05,4,NV-04,Hardy,R,house,0.37,2018-01-09,53598,1359,451,400,rv,IVR/Live Phone,TRUE,DEM,NA
2018-01-08,1,MO-S1,McCaskill,D,senate,0.45,2018-01-09,53673,383,978,965,v,NA,FALSE,DEM,NA
2018-01-08,1,MO-S1,Hawley,R,senate,0.44,2018-01-09,53673,383,978,965,v,NA,FALSE,DEM,NA
2018-01-09,1,FL-S1,Nelson,D,senate,0.3786,2018-01-10,56993,753,1118,785,lv,IVR/Live Phone,FALSE,NA,NA
2018-01-09,1,FL-S1,Scott,R,senate,0.35090000000000005,2018-01-10,56993,753,1118,785,lv,IVR/Live Phone,FALSE,NA,NA
2018-01-10,1,CA-39,Cisneros,D,house,0.38,2018-01-11,52753,1056,NA,761,lv,NA,FALSE,NA,NA
2018-01-10,1,CA-39,Kim,R,house,0.41000000000000003,2018-01-11,52753,1056,NA,761,lv,NA,FALSE,NA,NA
2018-01-11,5,OH-01,Pureval,D,house,0.44,2018-01-16,55910,907,NA,400,lv,Live Phone,TRUE,DEM,NA
2018-01-11,5,OH-01,Chabot,R,house,0.51,2018-01-16,55910,907,NA,400,lv,Live Phone,TRUE,DEM,NA
2018-01-15,7,UT-04,McAdams,D,house,0.42,2018-01-22,52732,120,431,400,rv,NA,FALSE,NA,NA
2018-01-15,7,UT-04,Love,R,house,0.47000000000000003,2018-01-22,52732,120,431,400,rv,NA,FALSE,NA,NA
2018-01-15,3,UT-S1,Wilson,D,senate,0.19,2018-01-18,52720,120,703,803,rv,NA,FALSE,NA,NA
2018-01-15,3,UT-S1,Romney,R,senate,0.64,2018-01-18,52720,120,703,803,rv,NA,FALSE,NA,NA
2018-01-16,3,MI-S1,Stabenow,D,senate,0.51,2018-01-19,53551,176,NA,600,lv,Live Phone,FALSE,NA,NA
2018-01-16,3,MI-S1,James,R,senate,0.3,2018-01-19,53551,176,NA,600,lv,Live Phone,FALSE,NA,NA
2018-01-17,1,TX-S1,O'Rourke,D,senate,0.37,2018-01-18,53681,383,681,757,v,NA,FALSE,DEM,NA
2018-01-17,1,TX-S1,Cruz,R,senate,0.45,2018-01-18,53681,383,681,757,v,NA,FALSE,DEM,NA
2018-01-21,3,TN-S1,Bredesen,D,senate,0.397,2018-01-24,53475,1008,962,1003,lv,Automated Phone,FALSE,NA,NA
2018-01-21,3,TN-S1,Blackburn,R,senate,0.507,2018-01-24,53475,1008,962,1003,lv,Automated Phone,FALSE,NA,NA
2018-01-24,4,CA-25,Hill,D,house,0.53,2018-01-28,52674,1244,988,650,lv,NA,FALSE,DEM,NA
2018-01-24,4,CA-25,Knight,R,house,0.4,2018-01-28,52674,1244,988,650,lv,NA,FALSE,DEM,NA
2018-01-24,4,NE-S1,Raybould,D,senate,0.34,2018-01-28,52644,1231,NA,500,lv,NA,TRUE,REP,NA
2018-01-24,4,NE-S1,Fischer,R,senate,0.51,2018-01-28,52644,1231,NA,500,lv,NA,TRUE,REP,NA
2018-01-29,6,FL-S1,Nelson,D,senate,0.48,2018-02-04,53752,509,NA,429,lv,Live Phone,FALSE,NA,NA
2018-01-29,6,FL-S1,Scott,R,senate,0.42,2018-02-04,53752,509,NA,429,lv,Live Phone,FALSE,NA,NA
2018-01-30,2,FL-S1,Nelson,D,senate,0.45,2018-02-01,53753,289,NA,625,rv,NA,FALSE,NA,NA
2018-01-30,2,FL-S1,Scott,R,senate,0.44,2018-02-01,53753,289,NA,625,rv,NA,FALSE,NA,NA
2018-02-01,17,FL-S1,Nelson,D,senate,0.44,2018-02-18,53750,801,NA,1978,rv,IVR/Online,FALSE,NA,NA
2018-02-01,17,FL-S1,Scott,R,senate,0.4,2018-02-18,53750,801,NA,1978,rv,IVR/Online,FALSE,NA,NA
2018-02-01,3,FL-S1,Nelson,D,senate,0.34,2018-02-04,53751,1218,NA,750,rv,IVR/Online,FALSE,NA,NA
2018-02-01,3,FL-S1,Scott,R,senate,0.44,2018-02-04,53751,1218,NA,750,rv,IVR/Online,FALSE,NA,NA
2018-02-03,0,WA-05,Brown,D,house,0.43,2018-02-03,53569,1359,451,414,lv,IVR/Live Phone,TRUE,DEM,NA
2018-02-03,0,WA-05,McMorris Rodgers,R,house,0.47000000000000003,2018-02-03,53569,1359,451,414,lv,IVR/Live Phone,TRUE,DEM,NA
2018-02-05,2,KY-06,McGrath,D,house,0.44,2018-02-07,52754,172,NA,401,lv,NA,TRUE,DEM,NA
2018-02-05,2,KY-06,Barr,R,house,0.48,2018-02-07,52754,172,NA,401,lv,NA,TRUE,DEM,NA
2018-02-05,23,VA-S1,Kaine,D,senate,0.56,2018-02-28,52653,94,NA,1562,rv,NA,FALSE,NA,NA
2018-02-05,23,VA-S1,Stewart,R,senate,0.32,2018-02-28,52653,94,NA,1562,rv,NA,FALSE,NA,NA
2018-02-09,12,UT-04,McAdams,D,house,0.43,2018-02-21,52739,120,953,404,rv,NA,FALSE,NA,NA
2018-02-09,12,UT-04,Love,R,house,0.49,2018-02-21,52739,120,953,404,rv,NA,FALSE,NA,NA
2018-02-12,1,IA-01,Finkenauer,D,house,0.43,2018-02-13,52726,383,971,742,v,NA,FALSE,DEM,NA
2018-02-12,1,IA-01,Blum,R,house,0.42,2018-02-13,52726,383,971,742,v,NA,FALSE,DEM,NA
2018-02-12,1,MN-03,Phillips,D,house,0.46,2018-02-13,53603,383,971,664,v,Automated Phone,FALSE,DEM,NA
2018-02-12,1,MN-03,Paulsen,R,house,0.43,2018-02-13,53603,383,971,664,v,Automated Phone,FALSE,DEM,NA
2018-02-12,21,OH-S1,Brown,D,senate,0.5,2018-03-05,52635,1193,788,1995,rv,Online,FALSE,NA,NA
2018-02-12,21,OH-S1,Renacci,R,senate,0.45,2018-03-05,52635,1193,788,1995,rv,Online,FALSE,NA,NA
2018-02-12,21,PA-S1,Casey,D,senate,0.52,2018-03-05,52647,1193,788,2165,rv,NA,FALSE,NA,NA
2018-02-12,21,PA-S1,Barletta,R,senate,0.43,2018-03-05,52647,1193,788,2165,rv,NA,FALSE,NA,NA
2018-02-12,21,MO-S1,McCaskill,D,senate,0.44,2018-03-05,53674,1193,788,1938,rv,Online,FALSE,NA,NA
2018-02-12,21,MO-S1,Hawley,R,senate,0.52,2018-03-05,53674,1193,788,1938,rv,Online,FALSE,NA,NA
2018-02-12,21,FL-S1,Nelson,D,senate,0.53,2018-03-05,53746,1193,788,1806,rv,Online,FALSE,NA,NA
2018-02-12,21,FL-S1,Scott,R,senate,0.43,2018-03-05,53746,1193,788,1806,rv,Online,FALSE,NA,NA
2018-02-13,1,IA-01,Finkenauer,D,house,0.47000000000000003,2018-02-14,53597,1359,451,400,rv,IVR/Live Phone,TRUE,DEM,NA
2018-02-13,1,IA-01,Blum,R,house,0.41000000000000003,2018-02-14,53597,1359,451,400,rv,IVR/Live Phone,TRUE,DEM,NA
2018-02-13,2,TN-S1,Bredesen,D,senate,0.39,2018-02-15,53482,1418,964,500,lv,Live Phone,FALSE,REP,NA
2018-02-13,2,TN-S1,Blackburn,R,senate,0.44,2018-02-15,53482,1418,964,500,lv,Live Phone,FALSE,REP,NA
2018-02-14,1,CA-25,Hill,D,house,0.5,2018-02-15,52755,383,111,283,rv,NA,FALSE,DEM,NA
2018-02-14,1,CA-25,Knight,R,house,0.4,2018-02-15,52755,383,111,283,rv,NA,FALSE,DEM,NA
2018-02-14,1,NJ-03,Kim,D,house,0.43,2018-02-15,53589,383,111,336,v,NA,FALSE,DEM,NA
2018-02-14,1,NJ-03,MacArthur,R,house,0.47000000000000003,2018-02-15,53589,383,111,336,v,NA,FALSE,DEM,NA
2018-02-15,3,CO-06,Crow,D,house,0.44,2018-02-18,52731,383,681,751,v,IVR,FALSE,DEM,NA
2018-02-15,3,CO-06,Coffman,R,house,0.39,2018-02-18,52731,383,681,751,v,IVR,FALSE,DEM,NA
2018-02-18,6,FL-S1,Nelson,D,senate,0.35200000000000004,2018-02-24,53749,1027,NA,500,a,Online,FALSE,NA,NA
2018-02-18,6,FL-S1,Scott,R,senate,0.41600000000000004,2018-02-24,53749,1027,NA,500,a,Online,FALSE,NA,NA
2018-02-18,2,ND-S1,Heitkamp,D,senate,0.44,2018-02-20,52657,468,27,500,lv,Live Phone,TRUE,REP,NA
2018-02-18,2,ND-S1,Cramer,R,senate,0.49,2018-02-20,52657,468,27,500,lv,Live Phone,TRUE,REP,NA
2018-02-19,2,MI-07,Driskell,D,house,0.37,2018-02-21,53601,1359,451,400,rv,IVR/Live Phone,TRUE,DEM,NA
2018-02-19,2,MI-07,Walberg,R,house,0.41000000000000003,2018-02-21,53601,1359,451,400,rv,IVR/Live Phone,TRUE,DEM,NA
2018-02-20,1,CA-45,Porter,D,house,0.46,2018-02-21,52756,383,111,648,rv,NA,FALSE,DEM,NA
2018-02-20,1,CA-45,Walters,R,house,0.44,2018-02-21,52756,383,111,648,rv,NA,FALSE,DEM,NA
2018-02-21,3,ND-S1,Heitkamp,D,senate,0.43,2018-02-24,52656,801,NA,385,rv,NA,FALSE,NA,NA
2018-02-21,3,ND-S1,Cramer,R,senate,0.4,2018-02-24,52656,801,NA,385,rv,NA,FALSE,NA,NA
2018-02-23,3,FL-S1,Nelson,D,senate,0.46,2018-02-26,53747,396,NA,1156,v,Live Phone,FALSE,NA,NA
2018-02-23,3,FL-S1,Scott,R,senate,0.42,2018-02-26,53747,396,NA,1156,v,Live Phone,FALSE,NA,NA
2018-02-23,2,FL-S1,Nelson,D,senate,0.4,2018-02-25,53748,1218,NA,800,rv,IVR/Online,FALSE,NA,NA
2018-02-23,2,FL-S1,Scott,R,senate,0.38,2018-02-25,53748,1218,NA,800,rv,IVR/Online,FALSE,NA,NA
2018-02-26,21,FL-S1,Nelson,D,senate,0.44,2018-03-19,53727,801,NA,2212,lv,NA,FALSE,NA,NA
2018-02-26,21,FL-S1,Scott,R,senate,0.4,2018-03-19,53727,801,NA,2212,lv,NA,FALSE,NA,NA
2018-02-27,5,UT-04,McAdams,D,house,0.4,2018-03-04,52757,299,NA,400,lv,NA,TRUE,DEM,NA
2018-02-27,5,UT-04,Love,R,house,0.43,2018-03-04,52757,299,NA,400,lv,NA,TRUE,DEM,NA
2018-02-28,9,OH-S1,Brown,D,senate,0.41000000000000003,2018-03-09,52634,1246,NA,1011,rv,NA,FALSE,NA,NA
2018-02-28,9,OH-S1,Renacci,R,senate,0.29,2018-03-09,52634,1246,NA,1011,rv,NA,FALSE,NA,NA
2018-03-01,6,FL-S1,Nelson,D,senate,0.413,2018-03-07,53728,1291,NA,750,lv,Live Phone,FALSE,NA,NA
2018-03-01,6,FL-S1,Scott,R,senate,0.433,2018-03-07,53728,1291,NA,750,lv,Live Phone,FALSE,NA,NA
2018-03-05,2,MO-S1,McCaskill,D,senate,0.42,2018-03-07,53560,801,NA,931,rv,NA,FALSE,NA,NA
2018-03-05,2,MO-S1,Hawley,R,senate,0.4,2018-03-07,53560,801,NA,931,rv,NA,FALSE,NA,NA
2018-03-08,5,NC-09,McCready,D,house,0.44,2018-03-13,53618,933,451,500,lv,NA,TRUE,DEM,NA
2018-03-08,5,NC-09,Harris,R,house,0.43,2018-03-13,53618,933,451,500,lv,NA,TRUE,DEM,NA
2018-03-08,4,NY-22,Brindisi,D,house,0.5,2018-03-12,52728,187,NA,500,lv,Live Phone,TRUE,DEM,NA
2018-03-08,4,NY-22,Tenney,R,house,0.44,2018-03-12,52728,187,NA,500,lv,Live Phone,TRUE,DEM,NA
2018-03-08,4,WA-03,Long,D,house,0.29,2018-03-12,53568,940,NA,400,lv,Live Phone,TRUE,DEM,NA
2018-03-08,4,WA-03,Herrera Beutler,R,house,0.49,2018-03-12,53568,940,NA,400,lv,Live Phone,TRUE,DEM,NA
2018-03-08,4,NJ-S1,Menendez,D,senate,0.49,2018-03-12,52651,396,NA,1052,rv,NA,FALSE,NA,NA
2018-03-08,4,NJ-S1,Hugin,R,senate,0.32,2018-03-12,52651,396,NA,1052,rv,NA,FALSE,NA,NA
2018-03-10,3,FL-S1,Nelson,D,senate,0.46,2018-03-13,53901,294,223,800,lv,Live Phone,FALSE,REP,NA
2018-03-10,3,FL-S1,Scott,R,senate,0.47000000000000003,2018-03-13,53901,294,223,800,lv,Live Phone,FALSE,REP,NA
2018-03-11,5,NY-S1,Gillibrand,D,senate,0.6,2018-03-16,52696,438,NA,772,rv,Live Phone,FALSE,NA,NA
2018-03-11,5,NY-S1,Farley,R,senate,0.24,2018-03-16,52696,438,NA,772,rv,Live Phone,FALSE,NA,NA
2018-03-15,2,NV-S1,Rosen,D,senate,0.44,2018-03-17,52660,383,946,720,v,Automated Phone,FALSE,DEM,NA
2018-03-15,2,NV-S1,Heller,R,senate,0.39,2018-03-17,52660,383,946,720,v,Automated Phone,FALSE,DEM,NA
2018-03-15,1,PA-S1,Casey,D,senate,0.54,2018-03-16,52646,383,946,1056,v,NA,FALSE,DEM,NA
2018-03-15,1,PA-S1,Barletta,R,senate,0.36,2018-03-16,52646,383,946,1056,v,NA,FALSE,DEM,NA
2018-03-15,1,TN-S1,Bredesen,D,senate,0.46,2018-03-16,53479,383,946,1014,v,Automated Phone,FALSE,DEM,NA
2018-03-15,1,TN-S1,Blackburn,R,senate,0.41000000000000003,2018-03-16,53479,383,946,1014,v,Automated Phone,FALSE,DEM,NA
2018-03-15,1,WI-S1,Baldwin,D,senate,0.51,2018-03-16,53667,383,946,910,v,Automated Phone,FALSE,DEM,NA
2018-03-15,1,WI-S1,Vukmir,R,senate,0.39,2018-03-16,53667,383,946,910,v,Automated Phone,FALSE,DEM,NA
2018-03-15,1,AZ-S1,Sinema,D,senate,0.46,2018-03-16,53709,383,946,547,v,NA,FALSE,DEM,NA
2018-03-15,1,AZ-S1,McSally,R,senate,0.41000000000000003,2018-03-16,53709,383,946,547,v,NA,FALSE,DEM,NA
2018-03-16,4,OH-S1,Brown,D,senate,0.52,2018-03-20,52611,460,NA,1408,rv,NA,FALSE,NA,NA
2018-03-16,4,OH-S1,Renacci,R,senate,0.38,2018-03-20,52611,460,NA,1408,rv,NA,FALSE,NA,NA
2018-03-16,2,MA-S1,Warren,D,senate,0.55,2018-03-18,53894,290,83,504,rv,Live Phone,FALSE,NA,NA
2018-03-16,2,MA-S1,Diehl,R,senate,0.2,2018-03-18,53894,290,83,504,rv,Live Phone,FALSE,NA,NA
2018-03-16,2,MA-S1,Ayyadurai,I,senate,0.09,2018-03-18,53894,290,83,504,rv,Live Phone,FALSE,NA,NA
2018-03-17,5,FL-26,Mucarsel-Powell,D,house,0.4,2018-03-22,53600,1359,451,400,rv,IVR/Live Phone,TRUE,DEM,NA
2018-03-17,5,FL-26,Curbelo,R,house,0.45,2018-03-22,53600,1359,451,400,rv,IVR/Live Phone,TRUE,DEM,NA
2018-03-19,7,PA-S1,Casey,D,senate,0.43,2018-03-26,52621,1114,NA,423,rv,NA,FALSE,NA,NA
2018-03-19,7,PA-S1,Barletta,R,senate,0.25,2018-03-26,52621,1114,NA,423,rv,NA,FALSE,NA,NA
2018-03-20,1,VA-10,Wexton,D,house,0.46,2018-03-21,53621,1359,451,400,rv,NA,TRUE,DEM,NA
2018-03-20,1,VA-10,Comstock,R,house,0.43,2018-03-21,53621,1359,451,400,rv,NA,TRUE,DEM,NA
2018-03-22,7,TN-S1,Bredesen,D,senate,0.45,2018-03-29,53486,593,NA,600,rv,Live Phone,FALSE,NA,NA
2018-03-22,7,TN-S1,Blackburn,R,senate,0.35000000000000003,2018-03-29,53486,593,NA,600,rv,Live Phone,FALSE,NA,NA
2018-03-27,0,MS-S2,Espy,D,senate,0.34,2018-03-27,53833,1015,NA,603,lv,NA,TRUE,DEM,NA
2018-03-27,0,MS-S2,Hyde-Smith,R,senate,0.27,2018-03-27,53833,1015,NA,603,lv,NA,TRUE,DEM,NA
2018-03-27,0,MS-S2,McDaniel,R,senate,0.21,2018-03-27,53833,1015,NA,603,lv,NA,TRUE,DEM,NA
2018-04-02,21,NV-S1,Rosen,D,senate,0.5,2018-04-23,52659,1193,788,1332,rv,Online,FALSE,NA,NA
2018-04-02,21,NV-S1,Heller,R,senate,0.44,2018-04-23,52659,1193,788,1332,rv,Online,FALSE,NA,NA
2018-04-02,21,TN-S1,Bredesen,D,senate,0.48,2018-04-23,53490,1193,788,1638,rv,Online,FALSE,NA,NA
2018-04-02,21,TN-S1,Blackburn,R,senate,0.47000000000000003,2018-04-23,53490,1193,788,1638,rv,Online,FALSE,NA,NA
2018-04-02,21,AZ-S1,Sinema,D,senate,0.51,2018-04-23,53758,1193,788,1667,rv,Online,FALSE,NA,NA
2018-04-02,21,AZ-S1,McSally,R,senate,0.42,2018-04-23,53758,1193,788,1667,rv,Online,FALSE,NA,NA
2018-04-02,21,AZ-S1,Sinema,D,senate,0.51,2018-04-23,53758,1193,788,1667,rv,Online,FALSE,NA,NA
2018-04-02,21,AZ-S1,Ward,R,senate,0.43,2018-04-23,53758,1193,788,1667,rv,Online,FALSE,NA,NA
2018-04-02,21,AZ-S1,Sinema,D,senate,0.61,2018-04-23,53758,1193,788,1667,rv,Online,FALSE,NA,NA
2018-04-02,21,AZ-S1,Arpaio,R,senate,0.32,2018-04-23,53758,1193,788,1667,rv,Online,FALSE,NA,NA
2018-04-03,2,MI-08,Bishop,R,house,0.45,2018-04-05,53548,1166,801,400,lv,NA,FALSE,NA,NA
2018-04-03,2,MI-08,Slotkin,D,house,0.39,2018-04-05,53548,1166,801,400,lv,NA,FALSE,NA,NA
2018-04-04,3,WA-05,Brown,D,house,0.38,2018-04-07,53570,140,965966967968969,403,rv,Live Phone,FALSE,NA,NA
2018-04-04,3,WA-05,McMorris Rodgers,R,house,0.44,2018-04-07,53570,140,965966967968969,403,rv,Live Phone,FALSE,NA,NA
2018-04-04,8,PA-S1,Casey,D,senate,0.48,2018-04-12,52620,329,269,414,rv,NA,FALSE,NA,NA
2018-04-04,8,PA-S1,Barletta,R,senate,0.32,2018-04-12,52620,329,269,414,rv,NA,FALSE,NA,NA
2018-04-04,2,MO-S1,McCaskill,D,senate,0.45,2018-04-06,53561,289,NA,625,rv,NA,FALSE,NA,NA
2018-04-04,2,MO-S1,Hawley,R,senate,0.44,2018-04-06,53561,289,NA,625,rv,NA,FALSE,NA,NA
2018-04-06,4,NJ-S1,Menendez,D,senate,0.53,2018-04-10,52650,320,NA,632,rv,NA,FALSE,NA,NA
2018-04-06,4,NJ-S1,Hugin,R,senate,0.32,2018-04-10,52650,320,NA,632,rv,NA,FALSE,NA,NA
