date,code,dem,rep,class,winner
2018-12-02,IN-04,0.35700000000000004,0.643,safe D,R
2018-12-02,IN-05,0.43200000000000005,0.568,safe D,R
2018-12-02,IN-06,0.32899999999999996,0.638,safe D,R
2018-12-02,IN-07,0.649,0.35100000000000003,safe D,D
2018-12-02,IN-08,0.35600000000000004,0.644,safe D,R
2018-12-02,IN-09,0.406,0.594,safe D,R
2018-12-02,KS-01,0.316,0.684,safe D,R
2018-12-02,KS-02,0.46399999999999997,0.48100000000000004,vul D,R
2018-12-02,KS-03,0.5329999999999999,0.442,vul D,D
2018-12-02,KS-04,0.402,0.598,safe D,R
2018-12-02,KY-01,0.314,0.6859999999999999,safe D,R
2018-12-02,KY-02,0.311,0.667,safe D,R
2018-12-02,KY-03,0.621,0.366,safe D,D
2018-12-02,KY-04,0.34600000000000003,0.622,safe D,R
2018-12-02,KY-05,0.21100000000000002,0.789,safe D,R
2018-12-02,KY-06,0.478,0.51,vul D,R
2018-12-02,LA-01,0.16399999999999998,0.715,safe D,R
2018-12-02,LA-02,0.8059999999999999,0,safe D,D
2018-12-02,LA-03,0.17800000000000002,0.557,safe D,R
2018-12-02,LA-04,0.336,0.642,safe D,R
2018-12-02,LA-05,0.3,0.665,safe D,R
2018-12-02,LA-06,0.205,0.695,safe D,R
2018-12-02,MA-00,0.603,0.363,safe D,D
2018-12-02,MA-01,1,0,safe D,D
2018-12-02,MA-02,0.672,0.32799999999999996,safe D,D
2018-12-02,MA-03,0.62,0.335,safe D,D
2018-12-02,MA-04,1,0,safe D,D
2018-12-02,MA-05,0.758,0.242,safe D,D
2018-12-02,MA-06,0.652,0.314,safe D,D
2018-12-02,MA-07,1,0,safe D,D
2018-12-02,MA-08,1,0,safe D,D
2018-12-02,MA-09,0.593,0.40700000000000003,safe D,D
2018-12-02,MD-00,0.642,0.311,safe D,D
2018-12-02,MD-01,0.376,0.606,safe D,R
2018-12-02,MD-02,0.6579999999999999,0.31,safe D,D
2018-12-02,MD-03,0.6859999999999999,0.28800000000000003,safe D,D
2018-12-02,MD-04,0.779,0.20199999999999999,safe D,D
2018-12-02,MD-05,0.7020000000000001,0.27399999999999997,safe D,D
2018-12-02,MD-06,0.5770000000000001,0.39399999999999996,safe D,D
2018-12-02,MD-07,0.7609999999999999,0.217,safe D,D
2018-12-02,MD-08,0.669,0.316,safe D,D
2018-12-02,ME-00,0.544,0.353,safe D,D
2018-12-02,ME-01,0.588,0.324,safe D,D
2018-12-02,ME-02,0.455,0.462,vul D,R
2018-12-02,MI-00,0.522,0.45799999999999996,lkly D,D
2018-12-02,MI-01,0.43700000000000006,0.563,lkly D,R
2018-12-02,MI-02,0.43,0.5529999999999999,safe D,R
2018-12-02,MI-03,0.43200000000000005,0.544,lkly D,R
2018-12-02,MI-04,0.374,0.626,safe D,R
2018-12-02,MI-05,0.595,0.359,safe D,D
2018-12-02,MI-06,0.457,0.502,vul D,R
2018-12-02,MI-07,0.462,0.5379999999999999,lkly D,R
2018-12-02,MI-08,0.506,0.46799999999999997,vul D,D
2018-12-02,MI-09,0.596,0.368,safe D,D
2018-12-02,MI-10,0.35,0.603,safe D,R
2018-12-02,MI-11,0.518,0.452,vul D,D
2018-12-02,MI-12,0.682,0.28800000000000003,safe D,D
2018-12-02,MI-13,0.846,0,safe D,D
2018-12-02,MI-14,0.8079999999999999,0.174,safe D,D
2018-12-02,MN-00,0.603,0.36200000000000004,safe D,D
2018-12-02,MN-01,0.498,0.502,vul D,R
2018-12-02,MN-02,0.528,0.47200000000000003,vul D,D
2018-12-02,MN-03,0.557,0.44299999999999995,vul D,D
2018-12-02,MN-04,0.66,0.298,safe D,D
2018-12-02,MN-05,0.782,0.218,safe D,D
2018-12-02,MN-06,0.38799999999999996,0.612,safe D,R
2018-12-02,MN-07,0.521,0.479,lkly D,D
2018-12-02,MN-08,0.452,0.507,vul D,R
2018-12-02,MN-98,0.53,0.424,vul D,D
2018-12-02,MO-00,0.455,0.515,vul D,R
2018-12-02,MO-01,0.8009999999999999,0.16699999999999998,safe D,D
2018-12-02,MO-02,0.47100000000000003,0.513,vul D,R
2018-12-02,MO-03,0.32799999999999996,0.6509999999999999,safe D,R
2018-12-02,MO-04,0.32799999999999996,0.647,safe D,R
2018-12-02,MO-05,0.616,0.35700000000000004,safe D,D
2018-12-02,MO-06,0.32,0.654,safe D,R
2018-12-02,MO-07,0.3,0.6629999999999999,safe D,R
2018-12-02,MO-08,0.25,0.7340000000000001,safe D,R
2018-12-02,MS-00,0.391,0.588,safe D,R
2018-12-02,MS-01,0.32299999999999995,0.67,safe D,R
2018-12-02,MS-02,0.718,0,safe D,D
2018-12-02,MS-03,0.363,0.627,safe D,R
2018-12-02,MS-04,0.293,0.696,safe D,R
2018-12-02,MS-98,0.406,0.415,lkly D,R
2018-12-02,MT-00,0.501,0.47,vul D,D
2018-12-02,MT-01,0.46,0.511,vul D,R
2018-12-02,NC-01,0.698,0.302,safe D,D
2018-12-02,NC-02,0.457,0.514,vul D,R
2018-12-02,NC-03,0,1,safe D,R
2018-12-02,NC-04,0.723,0.24100000000000002,safe D,D
2018-12-02,NC-05,0.428,0.5720000000000001,safe D,R
2018-12-02,NC-06,0.434,0.5660000000000001,safe D,R
2018-12-02,NC-07,0.42700000000000005,0.556,safe D,R
2018-12-02,NC-08,0.446,0.5539999999999999,lkly D,R
2018-12-02,NC-09,0.488,0.494,vul D,R
2018-12-02,NC-10,0.40700000000000003,0.593,safe D,R
2018-12-02,NC-11,0.387,0.5920000000000001,safe D,R
2018-12-02,NC-12,0.73,0.27,safe D,D
2018-12-02,NC-13,0.455,0.516,vul D,R
2018-12-02,ND-00,0.445,0.555,vul D,R
2018-12-02,ND-01,0.35600000000000004,0.603,safe D,R
2018-12-02,NE-00,0.38299999999999995,0.581,safe D,R
2018-12-02,NE-01,0.395,0.605,safe D,R
2018-12-02,NE-02,0.484,0.516,vul D,R
2018-12-02,NE-03,0.233,0.767,safe D,R
2018-12-02,NH-01,0.535,0.45,lkly D,D
2018-12-02,NH-02,0.556,0.42200000000000004,safe D,D
2018-12-02,NJ-00,0.537,0.431,vul D,D
2018-12-02,NJ-01,0.643,0.33399999999999996,safe D,D
2018-12-02,NJ-02,0.523,0.45899999999999996,vul D,D
2018-12-02,NJ-03,0.499,0.488,vul D,D
2018-12-02,NJ-04,0.43,0.555,safe D,R
2018-12-02,NJ-05,0.552,0.435,lkly D,D
2018-12-02,NJ-06,0.633,0.36700000000000005,safe D,D
2018-12-02,NJ-07,0.515,0.47,vul D,D
2018-12-02,NJ-08,0.779,0.19,safe D,D
2018-12-02,NJ-09,0.7,0.292,safe D,D
2018-12-02,NJ-10,0.8740000000000001,0.10300000000000001,safe D,D
2018-12-02,NJ-11,0.562,0.42700000000000005,vul D,D
2018-12-02,NJ-12,0.685,0.315,safe D,D
2018-12-02,NM-00,0.54,0.306,lkly D,D
2018-12-02,NM-01,0.59,0.364,safe D,D
2018-12-02,NM-02,0.507,0.493,vul D,D
2018-12-02,NM-03,0.633,0.313,safe D,D
2018-12-02,NV-00,0.504,0.45399999999999996,vul D,D
2018-12-02,NV-01,0.662,0.309,safe D,D
2018-12-02,NV-02,0.418,0.5820000000000001,safe D,R
2018-12-02,NV-03,0.519,0.428,vul D,D
2018-12-02,NV-04,0.52,0.43700000000000006,vul D,D
2018-12-02,NY-00,0.665,0.335,safe D,D
2018-12-02,NY-01,0.46399999999999997,0.525,lkly D,R
2018-12-02,NY-02,0.467,0.5329999999999999,lkly D,R
2018-12-02,NY-03,0.584,0.41600000000000004,safe D,D
2018-12-02,NY-04,0.61,0.39,safe D,D
2018-12-02,NY-05,1,0,safe D,D
2018-12-02,NY-06,0.9079999999999999,0,safe D,D
2018-12-02,NY-07,0.934,0,safe D,D
2018-12-02,NY-08,0.941,0,safe D,D
2018-12-02,NY-09,0.893,0.10300000000000001,safe D,D
2018-12-02,NY-10,0.812,0.188,safe D,D
2018-12-02,NY-11,0.528,0.46799999999999997,vul D,D
2018-12-02,NY-12,0.862,0.12300000000000001,safe D,D
2018-12-02,NY-13,0.946,0.054000000000000006,safe D,D
2018-12-02,NY-14,0.78,0.138,safe D,D
2018-12-02,NY-15,0.96,0.04,safe D,D
2018-12-02,NY-16,1,0,safe D,D
2018-12-02,NY-17,0.879,0,safe D,D
2018-12-02,NY-18,0.551,0.449,safe D,D
2018-12-02,NY-19,0.502,0.473,vul D,D
2018-12-02,NY-20,0.6609999999999999,0.33899999999999997,safe D,D
2018-12-02,NY-21,0.418,0.5670000000000001,lkly D,R
2018-12-02,NY-22,0.504,0.496,vul D,D
2018-12-02,NY-23,0.45,0.55,lkly D,R
2018-12-02,NY-24,0.469,0.531,vul D,R
2018-12-02,NY-25,0.586,0.414,safe D,D
2018-12-02,NY-26,0.731,0.26899999999999996,safe D,D
2018-12-02,NY-27,0.485,0.494,vul D,R
2018-12-02,OH-00,0.532,0.46799999999999997,lkly D,D
2018-12-02,OH-01,0.46399999999999997,0.518,vul D,R
2018-12-02,OH-02,0.41,0.578,safe D,R
2018-12-02,OH-03,0.733,0.267,safe D,D
2018-12-02,OH-04,0.34600000000000003,0.654,safe D,R
2018-12-02,OH-05,0.35,0.625,safe D,R
2018-12-02,OH-06,0.307,0.693,safe D,R
2018-12-02,OH-07,0.41100000000000003,0.589,safe D,R
2018-12-02,OH-08,0.332,0.6679999999999999,safe D,R
2018-12-02,OH-09,0.6759999999999999,0.324,safe D,D
2018-12-02,OH-10,0.419,0.562,lkly D,R
2018-12-02,OH-11,0.8190000000000001,0.18100000000000002,safe D,D
2018-12-02,OH-12,0.47100000000000003,0.516,vul D,R
2018-12-02,OH-13,0.608,0.392,safe D,D
2018-12-02,OH-14,0.446,0.5539999999999999,lkly D,R
2018-12-02,OH-15,0.395,0.585,safe D,R
2018-12-02,OH-16,0.43200000000000005,0.568,safe D,R
2018-12-02,OK-01,0.40700000000000003,0.593,safe D,R
2018-12-02,OK-02,0.301,0.65,safe D,R
2018-12-02,OK-03,0.261,0.7390000000000001,safe D,R
2018-12-02,OK-04,0.33,0.631,safe D,R
2018-12-02,OK-05,0.507,0.493,lkly D,D
2018-12-02,OR-01,0.635,0.324,safe D,D
2018-12-02,OR-02,0.392,0.5660000000000001,safe D,R
2018-12-02,OR-03,0.728,0.19899999999999998,safe D,D
2018-12-02,OR-04,0.56,0.41,safe D,D
2018-12-02,OR-05,0.551,0.42,safe D,D
2018-12-02,PA-00,0.556,0.42700000000000005,lkly D,D
2018-12-02,PA-01,0.48700000000000004,0.513,vul D,R
2018-12-02,PA-02,0.79,0.21,safe D,D
2018-12-02,PA-03,0.934,0.066,safe D,D
2018-12-02,PA-04,0.634,0.366,safe D,D
2018-12-02,PA-05,0.6509999999999999,0.349,vul D,D
2018-12-02,PA-06,0.588,0.41200000000000003,vul D,D
2018-12-02,PA-07,0.534,0.435,vul D,D
2018-12-02,PA-08,0.546,0.45399999999999996,lkly D,D
2018-12-02,PA-09,0.401,0.599,safe D,R
2018-12-02,PA-10,0.486,0.514,vul D,R
2018-12-02,PA-11,0.414,0.586,safe D,R
2018-12-02,PA-12,0.33799999999999997,0.662,safe D,R
2018-12-02,PA-13,0.29600000000000004,0.7040000000000001,safe D,R
2018-12-02,PA-14,0.42,0.58,vul D,R
2018-12-02,PA-15,0.321,0.679,safe D,R
2018-12-02,PA-16,0.474,0.515,vul D,R
2018-12-02,PA-17,0.562,0.43799999999999994,vul D,D
2018-12-02,PA-18,1,0,safe D,D
2018-12-02,RI-00,0.615,0.385,safe D,D
2018-12-02,RI-01,0.667,0.33299999999999996,safe D,D
2018-12-02,RI-02,0.636,0.364,safe D,D
2018-12-02,SC-01,0.507,0.493,vul D,D
2018-12-02,SC-02,0.425,0.563,safe D,R
2018-12-02,SC-03,0.31,0.6779999999999999,safe D,R
2018-12-02,SC-04,0.366,0.596,safe D,R
2018-12-02,SC-05,0.415,0.5710000000000001,safe D,R
2018-12-02,SC-06,0.7020000000000001,0.28300000000000003,safe D,D
2018-12-02,SC-07,0.40399999999999997,0.596,safe D,R
2018-12-02,SD-01,0.36,0.603,safe D,R
2018-12-02,TN-00,0.439,0.547,vul D,R
2018-12-02,TN-01,0.21,0.7709999999999999,safe D,R
2018-12-02,TN-02,0.332,0.6579999999999999,safe D,R
2018-12-02,TN-03,0.345,0.637,safe D,R
2018-12-02,TN-04,0.336,0.634,safe D,R
2018-12-02,TN-05,0.6779999999999999,0.322,safe D,D
2018-12-02,TN-06,0.28300000000000003,0.695,safe D,R
2018-12-02,TN-07,0.321,0.6679999999999999,safe D,R
2018-12-02,TN-08,0.301,0.6759999999999999,safe D,R
2018-12-02,TN-09,0.799,0.193,safe D,D
2018-12-02,TX-00,0.483,0.509,vul D,R
2018-12-02,TX-01,0.263,0.723,safe D,R
2018-12-02,TX-02,0.455,0.529,lkly D,R
2018-12-02,TX-03,0.442,0.5429999999999999,safe D,R
2018-12-02,TX-04,0.23,0.757,safe D,R
2018-12-02,TX-05,0.375,0.625,safe D,R
2018-12-02,TX-06,0.45399999999999996,0.531,lkly D,R
2018-12-02,TX-07,0.525,0.475,vul D,D
2018-12-02,TX-08,0.248,0.735,safe D,R
2018-12-02,TX-09,0.8909999999999999,0,safe D,D
2018-12-02,TX-10,0.469,0.509,lkly D,R
2018-12-02,TX-11,0.184,0.802,safe D,R
2018-12-02,TX-12,0.33899999999999997,0.643,safe D,R
2018-12-02,TX-13,0.16899999999999998,0.816,safe D,R
2018-12-02,TX-14,0.392,0.593,safe D,R
2018-12-02,TX-15,0.597,0.387,safe D,D
2018-12-02,TX-16,0.684,0.271,safe D,D
2018-12-02,TX-17,0.413,0.569,safe D,R
2018-12-02,TX-18,0.752,0.20800000000000002,safe D,D
2018-12-02,TX-19,0.247,0.753,safe D,R
2018-12-02,TX-20,0.809,0,safe D,D
2018-12-02,TX-21,0.475,0.503,lkly D,R
2018-12-02,TX-22,0.46399999999999997,0.514,vul D,R
2018-12-02,TX-23,0.48700000000000004,0.49200000000000005,vul D,R
2018-12-02,TX-24,0.475,0.507,lkly D,R
2018-12-02,TX-25,0.447,0.536,safe D,R
2018-12-02,TX-26,0.39,0.594,safe D,R
2018-12-02,TX-27,0.366,0.603,safe D,R
2018-12-02,TX-28,0.8440000000000001,0,safe D,D
2018-12-02,TX-29,0.7509999999999999,0.239,safe D,D
2018-12-02,TX-30,0.9109999999999999,0,safe D,D
2018-12-02,TX-31,0.47600000000000003,0.506,lkly D,R
2018-12-02,TX-32,0.522,0.45899999999999996,vul D,D
2018-12-02,TX-33,0.7609999999999999,0.21899999999999997,safe D,D
2018-12-02,TX-34,0.6,0.4,safe D,D
2018-12-02,TX-35,0.7120000000000001,0.261,safe D,D
2018-12-02,TX-36,0.27399999999999997,0.726,safe D,R
2018-12-02,UT-00,0.309,0.626,safe D,R
2018-12-02,UT-01,0.249,0.616,safe D,R
2018-12-02,UT-02,0.389,0.561,safe D,R
2018-12-02,UT-03,0.273,0.675,safe D,R
2018-12-02,UT-04,0.501,0.499,vul D,D
2018-12-02,VA-00,0.569,0.41200000000000003,lkly D,D
2018-12-02,VA-01,0.447,0.5529999999999999,safe D,R
2018-12-02,VA-02,0.511,0.489,vul D,D
2018-12-02,VA-03,1,0,safe D,D
2018-12-02,VA-04,0.625,0.361,safe D,D
2018-12-02,VA-05,0.467,0.5329999999999999,vul D,R
2018-12-02,VA-06,0.401,0.599,safe D,R
2018-12-02,VA-07,0.503,0.485,vul D,D
2018-12-02,VA-08,0.763,0.237,safe D,D
2018-12-02,VA-09,0.34700000000000003,0.653,safe D,R
2018-12-02,VA-10,0.562,0.43799999999999994,vul D,D
2018-12-02,VA-11,0.7120000000000001,0.27,safe D,D
2018-12-02,VT-00,0.674,0.27399999999999997,safe D,D
2018-12-02,VT-01,0.6920000000000001,0.26,safe D,D
2018-12-02,WA-00,0.5870000000000001,0.413,lkly D,D
2018-12-02,WA-01,0.5920000000000001,0.408,safe D,D
2018-12-02,WA-02,0.715,0,safe D,D
2018-12-02,WA-03,0.47100000000000003,0.529,vul D,R
2018-12-02,WA-04,0.355,0.645,safe D,R
2018-12-02,WA-05,0.449,0.551,vul D,R
2018-12-02,WA-06,0.634,0.366,safe D,D
2018-12-02,WA-07,0.8340000000000001,0.166,safe D,D
2018-12-02,WA-08,0.526,0.474,vul D,D
2018-12-02,WA-09,0.682,0,safe D,D
2018-12-02,WA-10,0.613,0.387,safe D,D
2018-12-02,WI-00,0.5539999999999999,0.446,vul D,D
2018-12-02,WI-01,0.423,0.546,vul D,R
2018-12-02,WI-02,1,0,safe D,D
2018-12-02,WI-03,0.597,0.40299999999999997,safe D,D
2018-12-02,WI-04,0.757,0.217,safe D,D
2018-12-02,WI-05,0.38,0.62,safe D,R
2018-12-02,WI-06,0.445,0.555,lkly D,R
2018-12-02,WI-07,0.385,0.602,safe D,R
2018-12-02,WI-08,0.363,0.637,safe D,R
2018-12-02,WV-00,0.495,0.46299999999999997,vul D,D
2018-12-02,WV-01,0.354,0.6459999999999999,safe D,R
2018-12-02,WV-02,0.429,0.54,lkly D,R
2018-12-02,WV-03,0.436,0.564,vul D,R
2018-12-02,WY-00,0.301,0.6709999999999999,safe D,R
2018-12-02,WY-01,0.298,0.637,safe D,R
